underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^VIX,2018-11-15,VIX,2018-11-21,10.000,C,10.5000,11.1000,10.5000,10.7000,7,3685,9.6000,5575,9.9000,20.4600,20.4600,19.7431,20.4600,1.9932,0.9978,0.0014,-0.0036,0.0002,0.1565,1473,9.3000,3496,9.5000,19.9800,19.9800,10.8143,1574,
^VIX,2018-11-15,VIX,2018-11-21,10.000,P,0.0200,0.0200,0.0200,0.0200,2,0,0.0000,26991,0.0500,20.4600,20.4600,19.7431,20.4600,2.5262,-0.0105,0.0045,-0.0152,0.0007,-0.0037,0,0.0000,13234,0.0500,19.9800,19.9800,0.0200,35369,
^VIX,2018-11-15,VIX,2018-11-21,10.500,C,0.0000,0.0000,0.0000,0.0000,0,5574,9.1000,3683,9.4000,20.4600,20.4600,19.7431,20.4600,1.8506,0.9977,0.0015,-0.0035,0.0002,0.1643,1475,8.8000,3689,9.0000,19.9800,19.9800,0.0000,132,
^VIX,2018-11-15,VIX,2018-11-21,10.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,25925,0.0500,20.4600,20.4600,19.7431,20.4600,2.3627,-0.0113,0.0051,-0.0151,0.0007,-0.0039,0,0.0000,12642,0.0500,19.9800,19.9800,0.0000,376,
^VIX,2018-11-15,VIX,2018-11-21,11.000,C,10.2000,10.2000,10.2000,10.2000,5,5730,8.6000,3780,8.9000,20.4600,20.4600,19.7431,20.4600,1.7145,0.9977,0.0017,-0.0034,0.0002,0.1721,1475,8.3000,3491,8.5000,19.9800,19.9800,10.2000,4665,
^VIX,2018-11-15,VIX,2018-11-21,11.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,24488,0.0500,20.4600,20.4600,19.7431,20.4600,2.2053,-0.0121,0.0058,-0.0149,0.0008,-0.0041,0,0.0000,13128,0.0500,19.9800,19.9800,0.0000,44981,
^VIX,2018-11-15,VIX,2018-11-21,11.500,C,0.0000,0.0000,0.0000,0.0000,0,5247,8.1000,3673,8.4000,20.4600,20.4600,19.7431,20.4600,1.5861,0.9976,0.0019,-0.0033,0.0002,0.1800,1475,7.8000,3679,8.0000,19.9800,19.9800,0.0000,2233,
^VIX,2018-11-15,VIX,2018-11-21,11.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,23920,0.0500,20.4600,20.4600,19.7431,20.4600,2.0541,-0.0129,0.0066,-0.0147,0.0008,-0.0044,0,0.0000,12600,0.0500,19.9800,19.9800,0.0000,9040,
^VIX,2018-11-15,VIX,2018-11-21,12.000,C,7.9000,7.9000,7.9000,7.9000,1,5227,7.6000,5452,7.9000,20.4600,20.4600,19.7431,20.4600,1.4597,0.9975,0.0021,-0.0031,0.0002,0.1878,1475,7.3000,3678,7.5000,19.9800,19.9800,7.9000,1841,
^VIX,2018-11-15,VIX,2018-11-21,12.000,P,0.0500,0.0500,0.0500,0.0500,5,0,0.0000,25031,0.0500,20.4600,20.4600,19.7431,20.4600,1.9087,-0.0139,0.0075,-0.0145,0.0009,-0.0047,0,0.0000,13640,0.0500,19.9800,19.9800,0.0500,44054,
^VIX,2018-11-15,VIX,2018-11-21,12.500,C,0.0000,0.0000,0.0000,0.0000,0,4230,7.1000,3662,7.4000,20.4600,20.4600,19.7431,20.4600,1.3395,0.9975,0.0023,-0.0030,0.0002,0.1957,1475,6.8000,3453,7.0000,19.9800,19.9800,0.0000,2302,
^VIX,2018-11-15,VIX,2018-11-21,12.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,23847,0.0500,20.4600,20.4600,19.7431,20.4600,1.7702,-0.0149,0.0086,-0.0144,0.0009,-0.0050,0,0.0000,12539,0.0500,19.9800,19.9800,0.0000,84234,
^VIX,2018-11-15,VIX,2018-11-21,13.000,C,0.0000,0.0000,0.0000,0.0000,0,5382,6.6000,4038,6.9000,20.4600,20.4600,19.7431,20.4600,1.2222,0.9975,0.0026,-0.0028,0.0002,0.2035,1475,6.3000,3951,6.5000,19.9800,19.9800,0.0000,4337,
^VIX,2018-11-15,VIX,2018-11-21,13.000,P,0.0500,0.0500,0.0300,0.0400,3,0,0.0000,33952,0.0500,20.4600,20.4600,19.7431,20.4600,1.6360,-0.0161,0.0100,-0.0142,0.0010,-0.0054,0,0.0000,20284,0.0500,19.9800,19.9800,0.0400,149191,
^VIX,2018-11-15,VIX,2018-11-21,13.500,C,0.0000,0.0000,0.0000,0.0000,0,4110,6.1000,3670,6.4000,20.4600,20.4600,19.7431,20.4600,1.1158,0.9974,0.0030,-0.0028,0.0002,0.2114,1475,5.8000,3477,6.0000,19.9800,19.9800,0.0000,75,
^VIX,2018-11-15,VIX,2018-11-21,13.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,27416,0.0500,20.4600,20.4600,19.7431,20.4600,1.5052,-0.0174,0.0116,-0.0140,0.0011,-0.0058,0,0.0000,15072,0.0500,19.9800,19.9800,0.0000,51680,
^VIX,2018-11-15,VIX,2018-11-21,14.000,C,6.5800,6.8300,5.8000,5.8000,87,166,5.7000,4545,5.9000,20.4600,20.4600,19.7431,20.4600,1.5643,0.9680,0.0185,-0.0250,0.0018,0.2093,1476,5.3000,3856,5.5000,19.9800,19.9800,6.5629,41324,
^VIX,2018-11-15,VIX,2018-11-21,14.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,26746,0.0500,20.4600,20.4600,19.7431,20.4600,1.3792,-0.0189,0.0135,-0.0137,0.0011,-0.0063,0,0.0000,14488,0.0500,19.9800,19.9800,0.0000,198011,
^VIX,2018-11-15,VIX,2018-11-21,14.500,C,0.0000,0.0000,0.0000,0.0000,0,1737,5.2000,5891,5.4000,20.4600,20.4600,19.7431,20.4600,1.4279,0.9653,0.0217,-0.0245,0.0019,0.2163,1476,4.8000,3673,5.0000,19.9800,19.9800,0.0000,10647,
